rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENEID,SYMBOL
ENSG00000253333.1,946.7857404019053,-1.5537942853449143,0.3208476965716355,-4.840783072087148,1.2932848883247615e-6,6.761874029542419e-6,ENSG00000253333,RP11-497H16.8
ENSG00000253357.1,525.5264394685014,-1.3413615232569853,0.3142231784770829,-4.267340183305657,1.9781739001870368e-5,8.743682623642447e-5,ENSG00000253357,CTB-78F1.2
ENSG00000253361.1,134.4953812760737,-1.2953524769710492,0.570476873448867,-2.260939630330037,0.023762995632488737,0.05556138330072916,ENSG00000253361,RP11-675F6.3
ENSG00000253364.1,168.22436646228084,-2.0627563116868686,0.6274140481020662,-3.3258328138798237,8.815478754108111e-4,0.0029346909662164816,ENSG00000253364,RP11-731F5.2
ENSG00000253368.3,14170.987738771088,1.7140777211142468,0.20342818025896986,8.426354382973047,3.566010992803539e-17,5.031834020436665e-16,ENSG00000253368,TRNP1
ENSG00000253384.1,592.1923193672488,-1.2994238955228654,0.3476414714614755,-3.7359778721767256,1.869871118177644e-4,7.034765296557291e-4,ENSG00000253384,CTD-2547L16.3
ENSG00000253406.1,23.638781905319675,1.2063178985238114,0.5916445088299842,3.62778723235332,2.858606781115694e-4,0.0010452465385729353,ENSG00000253406,AC012613.2
ENSG00000253492.1,502.966850469529,-1.3023791523716735,0.3735645992340987,-3.484162355302639,4.93679920281493e-4,0.0017304236549209946,ENSG00000253492,CDH12P3
ENSG00000253516.1,22.052462454939565,-1.1120367636350872,0.5465865950539842,-3.3994591697587815,6.751926002512574e-4,0.0022986141303157855,ENSG00000253516,HMGB1P41
ENSG00000253620.2,47.264737513375294,1.1808697430148416,0.628427627725413,2.070576148899678,0.038398422998944616,0.08422896383690169,ENSG00000253620,AC144568.4
ENSG00000253657.1,51.19883825940316,-2.2247351607523003,0.6193603958083936,-5.121838625674264,3.0257078468065813e-7,1.724920585541422e-6,ENSG00000253657,RP11-25P11.2
ENSG00000253665.1,51.70631846641176,-2.34076269708327,0.6223983538510615,-5.229568005235027,1.699065938325336e-7,9.979853328483435e-7,ENSG00000253665,RP11-359E19.2
ENSG00000253676.1,55416.00884972979,1.5639801369853588,0.1477379965281233,10.586295931054204,3.44973615648408e-26,8.232870331713528e-25,ENSG00000253676,TAGLN2P1
ENSG00000253677.1,899.0742760725353,1.333793857977097,0.35273581812885707,3.7828451940253345,1.550458509702183e-4,5.921697849765941e-4,ENSG00000253677,UBE2HP1
ENSG00000253688.2,80.57752728168828,1.0839893252404944,0.6294263720399428,1.8648603480551635,0.06220098168213458,0.1242510542075223,ENSG00000253688,RP11-567J20.2
ENSG00000253696.2,1775.8465387497836,-2.9899152401678393,0.44166057119828356,-6.753441503999295,1.4437873123601711e-11,1.327832765855065e-10,ENSG00000253696,KBTBD11-OT1
ENSG00000253741.1,9729.720949088227,2.0018677199821298,0.25284123071932263,7.918642002389127,2.401186061847267e-15,2.967379428175531e-14,ENSG00000253741,CTD-2292P10.4
ENSG00000253746.1,575.0472509558972,2.701906745354249,0.4220074624518095,6.413094918166459,1.425946742834474e-10,1.1919322342261566e-9,ENSG00000253746,RP11-527N22.2
ENSG00000253755.1,318.33787630465343,-2.2516622526073893,0.6310292413420843,-3.8468585896812875,1.1964197568196656e-4,4.6658245436469946e-4,ENSG00000253755,IGHGP
ENSG00000253764.1,915.2962241468347,-1.34796716657273,0.6241070235641667,-2.2196211796194865,0.026444493335452995,0.061053133088665196,ENSG00000253764,RP11-439C15.4
ENSG00000253771.5,274.82943216853977,-1.854844189402355,0.6240049738994459,-2.979095972249685,0.002891002126856477,0.008604036150902874,ENSG00000253771,TPTE2P1
ENSG00000253816.3,1785.3350062743,-1.017860033406874,0.2267244535986363,-4.489161333957502,7.150412869557801e-6,3.377193423863712e-5,ENSG00000253816,RP11-1415C14.3
ENSG00000253833.1,24787.374977340056,1.7713442441717655,0.1636580967977194,10.823604552943326,2.661015806248689e-27,6.731021087787582e-26,ENSG00000253833,RP11-367E12.4
ENSG00000253837.1,21442.858208788937,6.63030106185086,0.2426984531279411,27.28570736972542,6.268573737747772e-164,4.30102515581219e-161,ENSG00000253837,RP11-177H13.2
ENSG00000253851.1,516.506546705129,1.80388760446441,0.41077444043261896,4.395707715447017,1.1041242250392213e-5,5.077953809166557e-5,ENSG00000253851,RP11-318M2.3
ENSG00000253880.1,431.69338396035585,-2.507520069856874,0.610712155735037,-4.125616417171203,3.697430879804961e-5,1.5633738425407188e-4,ENSG00000253880,RP11-124B13.1
ENSG00000253882.6,473.9959752051635,2.149067452458713,0.4660935095753356,4.627758465708824,3.6964476041416825e-6,1.821346579814515e-5,ENSG00000253882,RP11-61L23.2
ENSG00000253888.1,3641.937310979644,-2.7869510039703833,0.34320144037772393,-8.113379963564118,4.923082511335907e-16,6.42380346388022e-15,ENSG00000253888,RP11-521M14.1
ENSG00000253893.2,507.72225694199125,1.022509297600024,0.3916171180792072,2.612469616957116,0.008989068190712213,0.023625257289367343,ENSG00000253893,FAM85B
ENSG00000253900.1,372.53313456819905,-1.679477680828747,0.4058015995584418,-4.133979372120412,3.565354894814353e-5,1.5116039920934075e-4,ENSG00000253900,CDH12P4
ENSG00000253929.1,99.65492451112524,-1.1141537316917731,0.6026746044348731,-1.9423045614770402,0.05210024114556985,0.10786701407551308,ENSG00000253929,CASC21
ENSG00000253930.1,2008.4681102808763,1.3522441218730512,0.3186571656781274,4.244727095457881,2.188596183798867e-5,9.610563562297585e-5,ENSG00000253930,RP11-1149O23.2
ENSG00000253958.1,276.32210764564246,1.7582854310547094,0.6302976900761855,3.447321848106361,5.661736686783956e-4,0.0019631884190623584,ENSG00000253958,CLDN23
ENSG00000253974.5,462.0434997611547,-1.0531221315829469,0.5648682551070408,-2.2397144000062905,0.02510947010707684,0.058355464575998064,ENSG00000253974,NRG1-IT1
ENSG00000253981.5,772.1935856057671,2.0030564795829005,0.39415180336178773,5.087642586019512,3.6254179493514985e-7,2.043812303045913e-6,ENSG00000253981,ALG1L13P
ENSG00000253992.1,57.75921210035954,1.4676934821132144,0.6093906163558984,4.498805343555318,6.833639237456664e-6,3.2391922084973774e-5,ENSG00000253992,RP11-737F9.1
ENSG00000254010.1,16573.525656067242,-2.9320277278194835,0.1627724512707529,-18.011854155714047,1.5727115232998993e-72,1.8766551198680754e-70,ENSG00000254010,RP11-103H7.5
ENSG00000254064.1,492.48144313006975,-1.1462518972815463,0.41804095034657246,-2.7395605020637994,0.00615213904231529,0.016901447048683,ENSG00000254064,CTD-2530N21.4
ENSG00000254087.7,40859.17833783551,1.2652467325063848,0.11430803479541582,11.068753293989266,1.7785767844497237e-28,4.712441497913692e-27,ENSG00000254087,LYN
ENSG00000254092.1,41.20540516376589,-1.7163981987034467,0.5983808886875213,-4.486757490748064,7.2315306975669395e-6,3.4130586413538205e-5,ENSG00000254092,RP11-369E15.3
ENSG00000254102.1,302.2636842326378,-2.6540110676230935,0.5136740418837076,-5.1460642660315035,2.660083238764299e-7,1.5236031545297985e-6,ENSG00000254102,RP11-21C4.1
ENSG00000254109.5,538.6604675903899,1.5090678644727888,0.3915734543237684,3.8566836059006335,1.1493577426331208e-4,4.4993400565647456e-4,ENSG00000254109,RBPMS-AS1
ENSG00000254131.1,27.63762745588405,-1.3603414879604634,0.5729002994002909,-3.839521705257031,1.232742313213371e-4,4.7924042612136825e-4,ENSG00000254131,RP11-1007J8.1
ENSG00000254139.1,627.2494565621898,-1.275379797838476,0.5751542535500841,-3.0166458881689753,0.002555881958971483,0.0076935761298571265,ENSG00000254139,CTD-2339F6.1
ENSG00000254154.8,2246.579022344534,-1.3660918190319324,0.23657809893711207,-5.773777766156921,7.751365743930097e-9,5.358595285696763e-8,ENSG00000254154,RP4-798P15.3
ENSG00000254158.1,540.2772669720505,1.1712929889704757,0.43737460155671837,2.681530916661966,0.007328614223266185,0.019707730940560834,ENSG00000254158,RP11-281O15.5
ENSG00000254223.1,44.492372442758146,1.7189926509708022,0.6206407591828043,4.560312742082972,5.107749288521862e-6,2.463297921630971e-5,ENSG00000254223,RP11-419K12.1
ENSG00000254230.1,9089.847315882824,2.295156662540223,0.1523099626192138,15.068427254941271,2.612584800133466e-51,1.7347352380563626e-49,ENSG00000254230,RP11-582J16.3
ENSG00000254254.5,29981.420635756363,2.4698159513096303,0.49961868549757155,4.9877479072590045,6.108720654012443e-7,3.346940709020892e-6,ENSG00000254254,RP11-17A4.2
ENSG00000254285.3,5476.164066131849,1.380991112932753,0.2650140987470844,5.211701890128385,1.8711606092227192e-7,1.0936078705260165e-6,ENSG00000254285,KRT8P3
ENSG00000254286.5,428.5887649641173,-2.1171241213220844,0.44912950136238183,-4.703252500514731,2.5604943618362257e-6,1.2901976945029722e-5,ENSG00000254286,RP11-89K10.1
ENSG00000254300.1,186.19527390647497,1.3084119954479496,0.6195642963974329,2.6342919135620986,0.008431296600368177,0.02232842732683544,ENSG00000254300,LINC01111
ENSG00000254332.1,85030.9556790194,1.5330787664538363,0.15900259693683155,9.642019112331049,5.313243727019096e-22,1.0093174711671468e-20,ENSG00000254332,GS1-44D20.1
ENSG00000254335.1,439.16568163121707,-2.097350421592295,0.37096061640325273,-5.647240641053201,1.6304353830643086e-8,1.0821595910084632e-7,ENSG00000254335,CDH12P1
ENSG00000254340.1,1820.8456021569068,1.4358438349809515,0.2462233539501574,5.831460867248101,5.494419838157731e-9,3.869001987382654e-8,ENSG00000254340,RP11-10A14.3
ENSG00000254400.1,10928.854743366766,1.5522802894197598,0.22724272839440735,6.831435361040469,8.406917072891526e-12,7.888131250102836e-11,ENSG00000254400,RP11-732A19.8
ENSG00000254416.5,21963.335119402956,-1.9813965655887107,0.1673332084340444,-11.840590789867486,2.4075104595067626e-32,7.735507265697144e-31,ENSG00000254416,RP11-347E10.1
ENSG00000254453.1,674.1622922720601,1.2275485148021217,0.5971073749674058,3.6305458529442878,2.8282245252227883e-4,0.0010345967623424115,ENSG00000254453,NAV2-AS2
ENSG00000254459.1,1800.3067081740119,1.4716854337965792,0.20258734896047237,7.2639355058599335,3.759873301107112e-13,3.928542744246879e-12,ENSG00000254459,RP11-91P24.7
ENSG00000254469.7,1490.9951895545246,-1.4381646010490552,0.21397095785335346,-6.7207206289922015,1.8082800307472292e-11,1.64969236932491e-10,ENSG00000254469,RP11-849H4.2
ENSG00000254510.1,2072.4405964419775,2.1305616945854613,0.38074041206227965,5.602931410739588,2.107566399816117e-8,1.3821304621972122e-7,ENSG00000254510,RP11-867G23.10
ENSG00000254539.1,210.11608848855252,1.3533523954058015,0.5231702029617251,2.599646515536191,0.009331983198526487,0.024430805616873715,ENSG00000254539,RP4-791M13.3
ENSG00000254545.1,3945.824453487177,4.1080676816252515,0.3533365071658398,11.640061474930462,2.5782971012425677e-31,7.950715049842952e-30,ENSG00000254545,RP11-84A19.3
ENSG00000254548.1,452.0107684758312,-1.843557515743832,0.48102980244897214,-3.8227239593246356,1.31985507960181e-4,5.103687588541271e-4,ENSG00000254548,RP11-429J17.5
ENSG00000254554.1,410.9118906561343,2.397392476356796,0.6124987573873553,4.211574391937215,2.5359701007635246e-5,1.1022784650725343e-4,ENSG00000254554,RP11-351I24.1
ENSG00000254559.1,15090.429347850306,1.1935712885214722,0.15948552388626616,7.483934221068548,7.213006794553745e-14,7.963565731539828e-13,ENSG00000254559,RP11-304M2.5
